Property_ID,price
27345,26300.83
111493,3798.1252
176972,8559.754
66650,22821.266
72437,5572.8125
150183,10730.472
88724,45947.875
118553,52873.12
181341,10484.2
82963,41183.047
12955,64044.73
29502,22608.95
41617,16727.76
41509,17377.57
69313,33308.395
97406,7786.4346
174324,6064.654
55659,23661.482
179478,17424.385
10551,34807.203
190994,22145.322
91036,5618.594
158286,243104.81
72193,3395.3342
132331,17686.697
128176,61768.39
115379,11092.98
145478,10376.919
174209,305361.75
147350,21628.738
167979,5764.878
62709,21711.691
23698,47258.043
77217,11430.45
55194,42029.688
137184,5229.779
20091,38381.625
130445,10740.249
32871,34246.07
160465,63604.414
65158,15557.542
76167,42494.957
114165,20054.408
22891,54366.293
53423,15831.53
3768,31085.53
173042,35487.35
40092,3577.4292
173674,12621.262
146786,26236.496
4424,18924.33
88681,5069.736
165580,9463.992
83464,18797.664
82953,38154.08
40663,18749.377
68108,15830.367
51554,18636.248
61613,50004.395
168430,12085.921
154268,31595.357
100209,18547.648
8029,40626.348
37220,13560.409
175873,150962.19
26141,8212.13
135876,6209.693
111945,68233.805
45773,21176.162
112862,12009.836
80109,18590.361
174289,21411.604
128980,3984.8562
126685,27944.059
9986,27011.44
171105,26057.957
153002,24352.377
114893,16551.664
101668,26098.52
112066,20042.553
131278,4331.9893
157456,29495.674
109350,13060.969
129570,5147.7314
72420,5625.1562
29117,34987.617
166630,10925.928
75351,31949.477
181693,4660.035
177684,4266.793
141470,8806.071
37987,12047.611
127229,13300.169
176898,4864.1436
116621,15064.528
38430,9594.171
114958,42221.316
143396,74816.99
149793,41596.914
40494,22836.44
166444,13567.627
36098,7330.09
172091,22875.871
101744,18824.07
180566,3845.1216
48016,25605.203
166436,16544.438
124917,18814.99
84448,12218.851
142097,13395.257
59635,34146.54
80569,13322.55
123300,9008.034
156410,42685.94
64813,17485.043
100644,4391.7524
1246,68555.695
85033,18467.34
173883,4172.391
37899,20292.041
150538,21776.432
71954,20373.89
124114,21777.824
143503,16651.299
71305,17444.754
66187,4597.946
74057,7477.5723
3478,58879.02
20480,23362.033
47405,44159.33
90075,28945.568
104216,9536.31
64851,19740.594
118660,10686.222
25609,26725.48
143160,6907.76
14308,163747.14
119196,24685.58
12438,32933.684
180686,21957.36
178314,31111.48
188260,6268.234
69735,129896.25
126702,6401.0015
120811,18563.416
78481,26040.293
169517,15737.747
119383,14223.484
40486,20991.94
8279,48488.02
68482,52230.926
22330,17434.924
177131,17872.994
88646,25524.697
118672,24060.102
1401,21064.014
156443,19990.955
33595,26855.758
187583,174390.23
79396,14442.017
135515,36163.71
151222,15913.315
80054,10154.233
25759,102801.67
162282,4606.478
163691,8103.633
60545,27588.332
178229,16912.953
15091,55929.25
4555,21989.17
77341,8948.116
100719,14481.558
159290,30177.38
76012,16378.018
190322,228290.7
105374,11211.193
188195,25243.475
75189,89553.01
98821,4262.8315
163257,215262.5
15344,24292.299
117392,30967.35
59767,47596.316
79328,132384.1
97905,8370.419
22604,30512.61
41041,92105.836
30369,33571.457
148288,13785.4
130333,14212
178711,21180.645
32742,14798.973
100243,5003.2417
159338,14971.334
56877,14698.419
88741,16947.604
140759,23846.105
16364,10868.282
133984,5878.9834
129368,10722.196
147184,38086.42
137650,27784.326
159051,5620.8823
148959,5133.803
116959,11974.474
44598,5013.693
73995,25972.56
138401,25884.012
106947,6629.799
71785,32189.865
140242,11159.34
55310,29608.04
92341,16650.996
74939,9336.8
89831,19985.902
131770,30923.701
139419,14620.005
185278,17405.336
154893,22142.47
